URI																					Estimated Creation Date					Memento			Age in Days(From Creation Date to 23rd Sept. 2014)
https://www.netflix.com/entrytrap?locale=en-us										2011-01-20T00:00:00						19					1343
http://newsdigg.net/celebwatch/lindsay_lohan/rss/									2014-02-08T14:27:34						3					227
http://www.imdb.com/name/nm0000248/													2004-07-14T02:59:47						88					3724
http://www.sweetnsourdeals.com														2012-04-23T16:15:35						92					883
http://suckmydick.com																1999-01-25T04:21:51						235					5721
https://twitter.com/eyoung0816														2012-07-20T00:00:00						7					796
http://newsdigg.net/celebwatch/leonardo_dicaprio/rss/								2013-06-30T00:00:00						3					451
http://vkdiz.ru																		2011-03-11T00:00:00						62					1293
http://www.mindyourownbusiness.com													1999-01-14T19:11:18						417					5731
http://www.onedirectionmusic.com/													2010-09-05T00:00:00						249					1480
https://www.youtube.com/watch?v=hms0ngy4u_w											2008-06-23T04:24:23						71					2284
http://terryborder.com/																2004-06-19T02:40:34						109					3749
http://aliendovecote.com															2009-11-29T00:00:00						32					1760
http://starpittsburgh.cbslocal.com/category/shows/scott-alexander/					2014-05-13T03:49:43						2					134
http://www.subteller.com															2013-04-19T00:00:00						17					523
http://tooxclusive.com/																2011-07-27T16:30:01						146					1154
http://www.podbean.com/site/error													2007-05-17T00:00:00						357					2687
http://www.youtube.com/user/iadorewomen1											2011-10-12T06:09:34						11					1078
http://karabomokgoko.tumblr.com														2012-10-31T18:44:13						8					692
https://www.youtube.com/watch?v=at1ws18rxvs											2008-06-23T08:24:20						71					2283
http://www.cracked.com																2009-05-14T10:59:48						5291				1958
http://illalwaysbesixfeetunderthestars.tumblr.com/									2011-12-18T10:35:58						6					1010
http://www.youtube.com/?app=desktop													2011-04-01T15:15:49						2692				1271
https://twitter.com/sikhyaent														2014-08-18T17:19:27						2					36
http://www.askaboutme.com															2004-12-15T02:08:56						13					3570
http://iqbaleh.tumblr.com															2001-02-01T00:00:00						72					4983
http://www.cityoftyler.org															2002-10-01T00:00:00						385					4376
https://twitter.com/louis_tomlinson/status/120620074301267968						2011-07-22T00:00:00						1					1160
https://twitter.com/																2009-01-12T05:38:55						68206				2081
http://classic.vb-faq.de/															2001-02-01T00:00:00						52					4983
http://www.cinemalaya.org/															2006-07-16T00:00:00						123					2992
http://mentalitch.com																2004-09-23T21:43:07						15					3652
http://some-grace.tumblr.com														2012-11-17T00:00:00						1					676
http://thenextweb.com																2005-11-14T08:01:50					    3238				3235
http://www.gamersspin.com															2012-11-21T21:42:40						17					671
http://www.denofgeek.us/															2012-11-24T03:19:51						196					669
http://bigtop.com/																	2001-02-01T00:00:00						116					4983
http://www.peta.org/																2000-11-10T00:27:51						4053				5066
http://shopkingcouture.bigcartel.com												2012-06-30T00:00:00						3					816
https://www.nsa.gov/																2006-02-06T00:00:00						2469				3152
http://www.powder.com/																2000-03-02T11:41:19						336					5318
http://www.palaparealty.com															2009-10-05T03:28:14						7					1815
http://perkstobeinginfinite.tumblr.com/												2013-01-20T08:15:56						7					611
http://beautyforashes61.com															2013-03-19T00:00:00						3					554
http://becomingmums.co.uk															2012-12-04T00:00:00						19					659
http://www.topadultgames.com														2002-02-01T00:00:00						10					4618
https://vine.co/v/m2jtdxwwvdb														2014-07-26T00:00:00						1					60
http://www.twentyonepilots.com														2009-12-06T00:00:00						73					1753
http://makeupeverything.com															2012-06-30T00:00:00						4					816
http://www.soundsofchristmas.com													2002-11-24T01:47:44						54					4322
http://yourwowmoney.com																2012-12-27T00:00:00						4					636
http://www.ocbvibez.blogspot.com													2014-07-23T00:00:00						5					63
http://www.onedirectionmusic.com													2010-09-05T00:00:00						249					1480
