Blog	dirty	dogs	teacher	direction	chose	legs	garden	co	ball	taught	apart	dropped	k	previous	message	beauty	lines	english	november	thanksgiving	wet	flying	facebook	steps	hello	angel	towards	famous	stood	expected	mess	worst	system	celebrate	hell	teeth	practice	chicken	broke	grand	wind	unfortunately	sea	december	blood	y	program	sugar	nearly	holy	reality	parking	discovered	pack	north	absolutely	posts	section	article	herself	doctor	cross	gold	mix	lake	travel	inspired	focus	meaning	machine	buying	ladies	nose	teach	doors	visiting	latest	common	hospital	river	sale	everybody	bear	windows	l	cup	mood	bird	speed	seconds	island	board	changing	easily	brothers	lessons	screen	managed	brings	faces	sky	fix	runs	obviously	key	include	babies	agree	cd	throughout	series	race	la	player	asleep	based	actual	consider	animals	shut	literally	bottle	blow	likely	tiny	shape	possibly	checking	hadn	pre	build	available	radio	ate	falling	plays	nature	crowd	row	cards	adventure	copy	birth	relationship	charge	heat	comfortable	gifts	checked	basically	creative	slightly	scary	interest	familiar	online	beyond	presents	suppose	remembered	roll	clock	sell	horse	success	laid	weight	doubt	allow	blogs	cried	example	magic	south	soft	hungry	ya	wanting	push	reminds	bathroom	hearts	million	breath	clearly	official	candy	passing	cars	price	whose	v	pray	result	paying	saved	fat	ticket	whom	forgotten	lie	library	journey	strength	dr	points	tea	breaking	joined	ends	handle	perfectly	attempt	f	brand	notes	tour	storm	families	ups	drinking	member	regular	fashion	gas	goal	hole	seat	uncle	fighting	signs	bath	okay	classic	effort	pair	september	promised	grateful	advice	plenty	february	training	involved	schedule	harder	ending	younger	address	riding	easter	dressed	faster	cheap	sold	community	santa	results	kiss	according	boring	reminded	artist	lesson	willing	van	truck	america	sisters	catching	flat	issue	evil	concert	describe	halloween	contact	challenge	collection	items	freedom	film	prepared	barely	heads	kill	anniversary	whenever	james	content	background	disappointed	mountain	grandma	sang	sand	aunt	sometime	flight	swing	sight	jesus	spread	hall	till	nervous	orange	camp	angry	shall	bike	extremely	fans	purpose	holidays	lord	release	rolling	continued	terrible	nap	progress	comfort	nobody	helps	cost	nor	grew	fantastic	numbers	w	de	milk	wise	response	falls	sharing	raise	officially	becoming	certainly	j	mid	plane	moon	throwing	grade	otherwise	excuse	master	swimming	letters	yours	heading	impossible	addition	picking	walls	hardly	daddy	guest	interview	rocks	remind	besides	character	tall	account	smell	social	calm	bags	ring	image	faith	paint	greatest	health	folks	waste	lay	wide	tag	pants	bringing	laughed	period	term	states	bill	per	national	shower	review	album	blame	mini	opinion	bedroom	rule	plastic	edge	rich	houses	michael	hide	effect	wash	unique	animal	finishing	airport	pleasure	eve	listened	ear	emotional	classes	midnight	pages	force	fellow	text	york	apple	traffic	shared	quote	jack	yard	joke	finger	kinds	yellow	ah	accept	birds	pure	serve	invited	subject	aside	mirror	normally	currently	garage	block	cheese	compared	goodbye	clouds	grass	pics	leg	blast	offered	bored	shoot	honestly	delicious	happiness	related	student	forced	jumped	meal	via	draw	upset	signed	lyrics	french	stomach	excitement	discussion	pulling	position	expensive	knowledge	bet	apartment	hi	neither	students	path	enter	reached	painting	loose	among	credit	blessed	obvious	visited	healthy	east	projects	receive	generally	flower	various
CKALLDAY	2	4	1	1	0	0	12	24	6	2	1	4	132	1	2	1	4	1	2	17	5	4	3	1	3	0	0	0	2	2	2	2	3	5	7	0	3	10	3	1	12	2	4	1	5	19	3	1	0	9	0	4	0	5	7	1	7	5	2	0	1	4	2	1	18	3	2	4	2	5	4	3	0	5	8	4	5	0	0	5	2	1	8	0	26	1	0	10	2	3	11	19	1	1	0	4	6	12	3	1	8	4	0	1	2	4	3	0	0	0	2	0	8	0	3	1	3	0	7	1	2	4	0	0	0	2	3	5	1	1	2	3	2	9	1	2	1	2	3	3	4	2	4	0	2	7	1	2	7	0	0	0	3	0	0	8	1	1	0	0	1	2	1	3	4	0	2	1	0	1	0	0	2	8	2	4	2	0	3	3	3	0	5	1	0	6	6	2	6	1	0	4	3	8	3	6	4	5	0	0	0	0	2	0	0	0	1	2	5	1	4	0	3	22	0	4	10	5	2	2	3	1	1	0	3	0	3	1	7	0	0	3	1	3	1	1	1	1	2	2	3	0	3	0	7	2	1	1	2	17	2	1	0	0	1	5	3	4	1	0	1	4	0	0	0	0	13	1	2	5	0	1	1	18	4	4	0	5	0	2	2	0	0	3	3	1	4	0	0	0	3	0	31	3	0	9	8	2	8	3	0	0	1	0	1	0	0	10	1	0	22	0	3	0	5	1	0	2	3	4	3	3	1	1	1	2	1	2	0	1	0	4	1	0	2	10	1	3	3	1	0	28	6	8	3	5	4	2	0	1	4	1	1	5	1	2	3	2	0	0	4	7	12	1	1	0	2	0	3	1	2	8	1	0	0	4	0	9	1	1	0	1	6	4	0	2	2	1	1	1	4	5	3	2	1	2	3	0	1	2	0	2	0	0	1	3	0	1	0	8	2	3	2	2	1	2	0	1	0	1	2	0	7	7	1	5	0	7	1	21	1	2	23	2	1	0	1	4	0	8	0	2	1	2	1	1	6	1	2	0	1	3	47	1	3	3	0	1	1	0	0	0	0	6	4	4	2	1	0	1	0	2	0	4	0	3	1	2	1	8	1	0	3	0	3	2	2	1	3	0	1	0	0	0	0	7	1	1	2	1	0
Lolalou's	7	9	11	1	6	3	6	3	9	1	4	1	12	4	6	2	6	8	1	12	13	5	6	3	11	4	1	17	2	3	14	7	3	6	46	14	1	13	6	5	4	4	8	1	5	10	8	2	7	3	4	34	2	5	1	13	3	7	5	6	17	6	1	9	2	2	2	1	5	10	16	3	13	9	4	2	0	3	2	3	24	3	7	12	6	7	50	3	9	13	5	4	2	5	1	1	10	2	6	5	3	9	8	5	14	4	5	5	13	0	1	9	4	8	7	3	19	4	6	9	12	13	4	2	8	7	13	1	4	3	3	0	6	15	1	3	2	3	5	16	0	4	4	1	2	7	5	2	5	23	4	5	4	3	2	8	1	3	2	4	5	1	13	2	0	3	5	1	3	1	0	11	2	0	5	3	2	3	5	21	23	0	9	8	12	1	19	2	15	12	4	6	1	1	13	5	15	7	8	2	15	20	0	2	11	3	2	3	7	2	8	5	3	16	6	5	0	0	2	1	5	1	17	3	14	2	1	11	1	6	4	6	89	3	6	1	0	6	0	8	3	7	12	4	3	2	0	3	4	1	1	6	2	7	12	3	2	4	4	7	12	3	0	7	6	9	5	4	1	0	5	0	18	4	2	5	1	6	0	3	1	4	2	8	2	21	5	5	5	0	5	5	1	3	2	1	2	0	4	4	1	1	1	12	6	2	7	6	2	2	2	1	0	1	1	4	0	2	0	7	0	2	0	3	0	10	4	1	7	4	11	3	11	2	6	4	0	4	5	2	4	12	3	4	2	5	7	5	4	7	5	6	4	1	0	3	7	8	0	1	2	4	1	8	9	4	5	5	13	14	1	0	10	3	2	3	6	2	2	11	8	3	1	7	2	7	2	4	1	10	3	7	6	1	4	3	21	3	7	7	4	6	4	9	1	7	3	5	1	5	1	3	0	1	1	2	1	16	2	5	0	1	6	17	6	5	0	13	12	7	8	1	3	4	6	3	11	4	1	2	1	6	4	0	33	19	3	11	3	1	0	0	0	6	2	3	9	2	7	7	4	5	20	1	3	0	3	1	6	6	10	4	6	2	4	5	4	2	3	2	43	17	6	15	0	2	2	7	0	2	10	4	2	2	6	4	1	1	2	2	1
Socially Adept...	3	3	1	5	4	1	0	2	7	5	1	1	7	2	10	4	6	2	1	0	1	0	1	2	0	1	8	4	3	2	3	14	1	1	14	8	6	5	1	6	3	2	0	0	6	9	3	2	17	2	9	6	3	1	3	2	0	1	4	7	8	0	6	0	2	3	13	10	3	1	5	6	3	0	2	0	2	7	2	0	3	16	1	0	4	2	1	4	1	3	0	2	1	1	7	1	6	2	1	4	4	0	2	4	2	1	1	8	5	2	3	22	1	9	0	4	7	14	2	12	4	6	2	4	2	0	11	0	1	2	0	5	5	4	0	5	11	2	2	2	0	0	8	24	2	4	1	2	1	13	4	2	0	5	3	3	5	0	5	2	1	9	5	5	7	3	2	1	14	11	2	2	2	4	2	3	2	3	2	2	11	3	3	1	7	4	2	4	2	3	2	3	0	3	6	2	3	2	8	0	4	0	1	0	0	4	0	3	0	4	1	0	7	12	1	5	6	2	4	3	7	6	6	13	2	3	5	5	5	12	1	0	15	3	5	1	2	1	2	2	2	1	1	1	0	2	1	4	6	2	1	1	1	0	3	10	1	4	0	5	1	2	23	5	6	2	0	8	4	2	0	7	2	1	1	0	2	0	0	0	3	1	4	3	8	9	0	6	10	1	4	0	0	1	0	1	1	0	7	0	3	7	3	3	1	1	0	1	1	10	0	1	15	5	2	4	3	4	4	4	0	0	2	5	1	1	17	5	0	4	4	0	2	2	2	3	1	4	0	10	0	9	1	0	4	4	4	5	1	0	6	3	1	0	2	2	0	0	4	6	1	2	0	6	5	13	2	1	3	7	6	0	13	2	1	7	4	1	65	1	1	7	4	3	5	3	11	5	3	1	5	3	2	1	20	7	0	19	2	4	1	0	4	0	13	6	10	3	2	3	1	5	1	0	0	2	8	0	0	0	3	5	2	5	0	0	1	6	2	2	4	4	0	0	2	2	16	1	2	1	5	0	2	4	0	2	7	0	3	0	3	2	0	7	3	1	2	11	4	0	1	5	2	0	3	2	5	4	1	3	7	12	3	0	3	1	5	0	2	14	3	1	10	1	8	1	1	0	2	2	4	0	3	1	3	1	4	1	3	0	1
dwightla.blogspot.com	0	1	0	0	0	0	2	0	1	0	1	2	2	2	2	0	1	0	0	2	1	0	7	1	2	0	2	1	0	0	1	1	1	0	2	2	0	0	0	0	2	0	4	2	2	1	0	0	1	1	1	0	4	1	0	0	1	1	2	0	0	0	2	0	1	3	1	0	4	0	2	3	0	1	0	1	3	0	0	1	1	0	2	0	6	0	0	1	0	1	2	0	2	1	1	1	1	0	0	3	1	0	0	0	0	0	2	1	6	0	2	4	16	0	1	0	1	0	0	5	4	2	0	0	1	0	0	0	0	2	0	0	1	1	2	3	3	1	1	1	2	7	0	3	0	2	1	0	2	7	0	0	9	1	0	1	3	0	1	0	0	0	0	0	1	2	0	1	0	1	1	1	0	0	0	0	0	0	0	4	3	0	2	0	4	2	1	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	4	1	1	2	1	0	2	2	4	0	0	1	1	0	2	1	0	0	1	1	2	2	0	2	0	0	1	0	2	0	0	1	0	0	3	0	2	0	0	0	1	2	1	0	2	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	8	0	0	0	1	2	7	2	4	0	1	0	0	0	9	0	0	0	0	0	0	4	1	0	0	1	1	1	2	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	3	0	1	1	1	1	0	8	1	1	1	0	0	0	1	0	1	0	0	1	0	2	2	1	0	0	0	1	3	3	0	3	0	2	3	1	0	1	1	0	1	1	1	2	0	1	5	0	1	1	1	1	0	0	1	1	0	2	1	0	0	1	1	0	0	2	0	0	0	2	1	14	4	0	2	1	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	1	7	16	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	2	0	7	5	0	0	0	1	0	0	3	1	0	8	1	2	0	3	5	2	1	0	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	2	1	1	5	1	1	1	0	0	0	1	0	0	0	0	3	3	3	3	0	0	0	0	0
Van SmithStrand	0	1	2	0	1	2	1	2	1	0	1	0	0	0	1	0	0	0	1	0	2	0	1	1	2	0	1	0	0	2	0	0	1	2	1	3	0	66	0	0	2	1	0	1	1	2	0	0	0	0	0	0	0	2	2	0	4	1	0	7	0	0	1	2	0	0	0	3	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	2	1	0	0	0	1	1	0	1	3	1	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	5	0	0	0	0	1	9	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	1	1	1	0	0	0	2	1	0	2	1	0	0	1	0	0	0	3	22	0	1	4	0	3	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	1	4	1	0	0	0	0	6	0	0	0	3	0	0	1	0	19	0	1	0	1	0	1	2	0	0	8	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	13	0	2	10	3	4	0	2	0	1	0	0	0	0	1	0	0	3	0	2	0	3	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	22	2	2	0	1	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	2	0	1	1	1	1	1	0	0	0	0	0	0	1	2	0	1	0	0	0	1	1	0	0	29	2	1	0	0	3	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	10	2	0	0	2	1
The Elsholz Family Circus	3	8	4	3	3	4	0	2	2	0	0	2	1	0	1	1	2	1	0	3	2	1	3	2	5	4	0	0	1	0	4	0	1	1	0	1	5	5	2	5	0	0	1	0	1	2	0	1	2	1	2	1	2	1	4	2	1	3	0	0	6	3	1	3	1	1	0	1	0	1	0	4	2	3	1	1	1	2	5	0	1	2	4	0	1	0	7	0	1	7	0	0	4	1	3	1	2	1	2	6	1	1	0	3	1	1	2	0	0	3	0	0	0	0	6	0	5	0	4	0	1	3	1	1	0	3	1	4	1	0	2	0	1	8	5	2	8	1	1	0	6	1	4	3	0	0	0	1	1	0	2	6	6	2	1	1	1	1	0	1	2	1	1	1	3	6	1	3	0	0	1	0	5	0	3	2	0	1	0	2	12	1	13	4	5	3	3	0	1	0	1	12	2	0	2	1	2	0	0	2	1	2	1	1	2	0	0	2	0	4	1	4	1	4	2	0	1	0	1	3	2	3	3	3	2	0	2	4	2	4	0	6	17	3	0	1	0	1	10	4	2	0	1	1	6	1	1	2	2	0	4	3	0	2	2	0	2	1	1	7	2	1	1	1	4	3	0	1	8	2	0	2	2	2	0	5	0	0	1	1	0	1	0	1	5	3	3	1	0	1	0	0	0	24	0	3	22	0	0	0	4	0	2	4	1	2	1	2	0	2	0	16	1	0	1	0	2	1	1	0	5	1	0	4	2	0	0	1	3	0	0	0	4	3	1	1	3	0	3	0	5	0	1	2	1	2	1	0	0	4	2	1	3	1	0	5	7	1	1	13	1	0	4	0	8	2	0	1	3	1	1	1	0	0	1	7	0	0	8	1	1	1	0	4	2	0	0	0	0	1	2	1	0	0	3	3	7	0	9	0	1	0	0	1	0	3	3	3	1	1	0	0	2	2	0	4	0	1	1	0	1	0	0	1	4	1	0	0	1	7	0	0	1	1	1	0	1	0	1	1	1	1	0	4	1	1	0	1	0	1	0	1	2	1	1	0	0	2	0	6	3	1	0	0	1	2	0	2	1	2	0	0	3	6	1	0	2	0	3	0	3	2	1	0	0	1	3	4	1	0	1	7	2	0	1	0	2	1	0	1	3
In a nutshell.	4	0	8	3	0	4	3	8	15	1	7	9	5	5	7	3	4	5	1	0	5	5	2	3	4	0	9	6	1	2	4	16	4	2	32	5	4	2	5	2	0	1	5	3	1	1	2	3	16	2	4	4	2	5	0	3	3	1	3	2	2	3	3	0	2	2	13	5	6	1	3	13	0	3	2	2	1	1	8	1	0	40	6	2	11	17	13	0	7	2	3	3	2	2	5	0	3	9	3	13	1	4	1	10	2	0	1	4	1	4	13	1	86	4	3	2	4	4	2	8	5	7	0	0	1	5	4	2	0	4	0	2	1	6	5	3	1	1	14	3	2	2	2	4	6	2	1	0	0	3	28	3	14	2	14	9	2	0	31	4	2	9	1	2	5	4	7	3	1	5	4	3	4	3	2	3	21	4	4	1	2	0	3	3	5	8	1	1	7	2	15	4	1	5	3	1	8	7	0	5	2	4	5	3	2	10	3	0	4	5	3	1	4	19	5	1	2	1	0	3	2	1	3	15	1	1	1	0	3	2	0	2	52	7	4	0	0	10	2	2	3	2	7	2	1	2	10	2	0	0	3	0	4	2	1	3	1	5	6	6	12	1	8	3	1	5	0	1	4	2	6	3	1	2	0	2	3	4	4	2	0	10	1	1	1	12	1	5	2	1	4	0	1	5	0	0	5	4	0	2	4	1	2	4	28	1	0	34	1	14	0	5	4	3	6	1	4	0	4	1	0	1	3	13	4	4	2	3	1	1	4	1	1	1	1	1	0	2	0	0	3	0	4	3	3	0	0	1	9	4	0	2	5	2	5	0	1	0	3	8	3	3	2	0	3	1	5	2	3	3	2	3	4	18	3	2	0	0	4	3	0	0	9	4	3	2	4	3	0	0	3	3	9	1	4	4	5	4	0	4	4	1	1	4	4	1	1	1	4	3	2	1	1	0	2	0	1	2	2	0	4	5	2	1	1	5	2	1	9	0	2	3	0	1	24	4	0	3	1	3	11	3	1	1	15	0	1	1	6	2	2	1	34	6	3	3	19	29	0	1	0	0	8	4	0	0	1	5	0	1	3	2	2	0	2	1	1	0	2	4	4	10	1	14	1	1	17	2	3	1	5	1	8	4	0	0	3	0	0	4	1
Our CRAZY, MESSY yet so very FABULOUS life.- A & G	0	5	0	0	0	0	0	1	5	2	2	3	1	0	1	0	0	0	1	5	0	1	0	0	0	0	2	1	0	1	3	1	0	4	0	3	0	7	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	1	4	3	1	0	0	0	2	0	0	0	1	0	1	0	0	2	2	0	1	1	1	5	0	0	0	0	1	1	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	1	0	7	0	1	2	0	0	0	1	5	0	1	0	1	0	0	3	1	0	0	0	0	1	2	0	1	0	0	6	0	2	1	0	1	4	0	0	6	0	0	2	0	1	0	5	0	0	0	0	1	0	1	21	0	0	0	1	0	2	0	0	0	1	0	0	8	0	0	2	1	1	2	1	1	0	1	2	0	0	0	0	6	1	5	0	2	2	1	0	0	1	0	2	1	0	3	0	2	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	4	2	0	0	1	2	4	1	3	0	35	0	2	2	2	0	0	2	0	0	0	1	1	0	0	0	0	1	1	0	0	4	16	6	0	0	0	1	12	0	2	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	7	2	5	46	1	3	0	0	2	2	0	0	1	2	0	0	0	2	4	1	0	1	1	0	1	0	1	6	0	1	0	0	0	0	2	4	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	2	0	1	0	2	0	0	0	0	0	0	1	0	81	0	0	0	0	1	0	0	0	2	1	1	2	0	0	1	0	5	0	0	0	3	1	0	6	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	2	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	8	0	2	0	0	0	0	12	0	1	3	1	5	1	0	0	0	2	5	0	0	4	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	18	0	1	1	0	0	0	0	1	0
Sniper2477's Blog	0	0	0	1	1	0	0	0	0	0	0	1	0	0	21	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	7	0	0	0	3	0	0	1	0	2	0	0	6	0	0	1	0	0	0	0	6	1	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	10	0	3	1	0	1	0	0	4	3	0	1	1	0	0	1	2	3	0	0	1	3	1	0	0	0	0	0	0	16	0	1	0	0	0	1	0	0	0	3	0	1	2	0	1	1	5	0	1	0	11	0	1	0	2	0	1	0	0	10	1	0	0	0	0	0	0	1	9	1	0	4	1	0	4	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	5	0	0	4	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	2	0	0	0	2	3	0	8	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	5	3	10	0	0	0	20	0	2	1	1	0	2	1	2	0	1	1	0	0	0	0	3	0	0	0	0	1	0	7	1	0	0	0	0	0	1	3	0	0	2	6	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	4	0	10	0	1	1	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	3	1	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	1
His Treasured Possession	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
